split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Grouped-random,42,C,train,NORMAL,0.6832937450514648,0.34382470119521913,0.4574609064404983,2510.0
Grouped-random,42,C,train,ACCIDENT,0.12936170212765957,0.4318181818181818,0.1990831696136215,352.0
Grouped-random,42,C,train,OTHER_DISRUPTION,0.2413793103448276,0.36573511543134873,0.29082125603864734,823.0
Grouped-random,42,C,validation,NORMAL,0.6804123711340206,0.37358490566037733,0.4823386114494519,530.0
Grouped-random,42,C,validation,ACCIDENT,0.09166666666666666,0.27848101265822783,0.13793103448275862,79.0
Grouped-random,42,C,validation,OTHER_DISRUPTION,0.2490118577075099,0.36,0.29439252336448596,175.0
Grouped-random,42,C,test,NORMAL,0.6716417910447762,0.33271719038817005,0.44499381953028433,541.0
Grouped-random,42,C,test,ACCIDENT,0.12547528517110265,0.44594594594594594,0.19584569732937684,74.0
Grouped-random,42,C,test,OTHER_DISRUPTION,0.26037735849056604,0.3812154696132597,0.3094170403587444,181.0
Grouped-random,52,C,train,NORMAL,0.6999168744804655,0.3354581673306773,0.4535416105575007,2510.0
Grouped-random,52,C,train,ACCIDENT,0.1187308085977482,0.32954545454545453,0.1745673438675696,352.0
Grouped-random,52,C,train,OTHER_DISRUPTION,0.25182724252491695,0.46051032806804376,0.32560137457044674,823.0
Grouped-random,52,C,validation,NORMAL,0.6763636363636364,0.35094339622641507,0.462111801242236,530.0
Grouped-random,52,C,validation,ACCIDENT,0.12,0.3037974683544304,0.17204301075268819,79.0
Grouped-random,52,C,validation,OTHER_DISRUPTION,0.23300970873786409,0.4114285714285714,0.2975206611570248,175.0
Grouped-random,52,C,test,NORMAL,0.664179104477612,0.3290203327171904,0.4400494437577256,541.0
Grouped-random,52,C,test,ACCIDENT,0.12169312169312169,0.3108108108108108,0.17490494296577946,74.0
Grouped-random,52,C,test,OTHER_DISRUPTION,0.25073746312684364,0.4696132596685083,0.3269230769230769,181.0
