split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Grouped-random,42,D,train,ACCIDENT,0.12953367875647667,0.21306818181818182,0.1611170784103115,352.0
Grouped-random,42,D,train,OTHER_DISRUPTION,0.24474660074165636,0.24058323207776428,0.2426470588235294,823.0
Grouped-random,42,D,validation,NORMAL,0.7069306930693069,0.6735849056603773,0.6898550724637681,530.0
Grouped-random,42,D,validation,ACCIDENT,0.08264462809917356,0.12658227848101267,0.1,79.0
Grouped-random,42,D,validation,OTHER_DISRUPTION,0.2721518987341772,0.24571428571428572,0.25825825825825827,175.0
Grouped-random,42,D,test,NORMAL,0.6619144602851323,0.600739371534196,0.6298449612403101,541.0
Grouped-random,42,D,test,ACCIDENT,0.09722222222222222,0.1891891891891892,0.12844036697247707,74.0
Grouped-random,42,D,test,OTHER_DISRUPTION,0.18012422360248448,0.16022099447513813,0.1695906432748538,181.0
Grouped-random,52,D,train,NORMAL,0.7417085427135678,0.2940239043824701,0.4211126961483595,2510.0
Grouped-random,52,D,train,ACCIDENT,0.13262815296989422,0.4630681818181818,0.20619860847564833,352.0
Grouped-random,52,D,train,OTHER_DISRUPTION,0.2655715263518138,0.47144592952612396,0.3397548161120841,823.0
Grouped-random,52,D,validation,NORMAL,0.6991150442477876,0.2981132075471698,0.41798941798941797,530.0
Grouped-random,52,D,validation,ACCIDENT,0.1125,0.34177215189873417,0.16927899686520376,79.0
Grouped-random,52,D,validation,OTHER_DISRUPTION,0.24842767295597484,0.4514285714285714,0.3204868154158215,175.0
Grouped-random,52,D,test,NORMAL,0.6827309236947792,0.3142329020332717,0.43037974683544306,541.0
Grouped-random,52,D,test,ACCIDENT,0.11290322580645161,0.3783783783783784,0.17391304347826086,74.0
Grouped-random,52,D,test,OTHER_DISRUPTION,0.26755852842809363,0.4419889502762431,0.3333333333333333,181.0
Grouped-random,62,D,train,NORMAL,0.6857142857142857,0.5258964143426295,0.5952649379932357,2510.0
Grouped-random,62,D,train,ACCIDENT,0.11006289308176101,0.29829545454545453,0.16079632465543645,352.0
Grouped-random,62,D,train,OTHER_DISRUPTION,0.22332506203473945,0.2187120291616039,0.22099447513812154,823.0
Grouped-random,62,D,validation,NORMAL,0.665871121718377,0.5264150943396226,0.5879873551106428,530.0
Grouped-random,62,D,validation,ACCIDENT,0.10382513661202186,0.24050632911392406,0.1450381679389313,79.0
Grouped-random,62,D,validation,OTHER_DISRUPTION,0.21978021978021978,0.22857142857142856,0.22408963585434175,175.0
Grouped-random,62,D,test,NORMAL,0.6757425742574258,0.5046210720887245,0.5777777777777777,541.0
Grouped-random,62,D,test,ACCIDENT,0.10476190476190476,0.2972972972972973,0.15492957746478872,74.0
Grouped-random,62,D,test,OTHER_DISRUPTION,0.19230769230769232,0.19337016574585636,0.1928374655647383,181.0
Spatial,42,A,train,NORMAL,0.6815602836879433,0.38180373460468814,0.48943213649096,2517.0
Spatial,42,A,train,ACCIDENT,0.10845295055821372,0.3919308357348703,0.16989381636477202,347.0
Spatial,42,A,train,OTHER_DISRUPTION,0.23484119345524543,0.2908224076281287,0.2598509052183174,839.0
Spatial,42,A,validation,NORMAL,0.6827586206896552,0.36065573770491804,0.4719904648390942,549.0
Spatial,42,A,validation,ACCIDENT,0.10980392156862745,0.3333333333333333,0.16519174041297935,84.0
Spatial,42,A,validation,OTHER_DISRUPTION,0.23754789272030652,0.3583815028901734,0.2857142857142857,173.0
Spatial,42,A,test,NORMAL,0.7183908045977011,0.24271844660194175,0.36284470246734396,515.0
