split_scheme,feature_level,class,partition,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_mean
Spatial,A,OTHER_DISRUPTION,test,0.2477304229114563,0.0011165679681939052,0.6167664670658682,0.05897519641794079,0.3530655353193177,0.0110672243170405,167.0
Spatial,A,OTHER_DISRUPTION,train,0.23849751576003586,0.004430891231679761,0.38418752483114815,0.09181719219304559,0.2919492858322204,0.031011745224055164,839.0
Spatial,A,OTHER_DISRUPTION,validation,0.2368918444090946,0.006451898494868784,0.43159922928709055,0.06573688674077836,0.3045904724636871,0.016441825205559982,173.0
Spatial,B,ACCIDENT,test,0.12657605323047907,0.021124389787220494,0.3333333333333333,0.140653108072036,0.1759666981698249,0.0315457144638513,74.0
Spatial,B,ACCIDENT,train,0.1251385933894699,0.01727053851348843,0.39000960614793473,0.12433190922085256,0.1842764275274403,0.012808341201403903,347.0
Spatial,B,ACCIDENT,validation,0.13604593372199006,0.01244611496372735,0.44841269841269843,0.13059113231670108,0.20467573449456034,0.009135988838864533,84.0
Spatial,B,NORMAL,test,0.6962788862509797,0.015085337460935735,0.41747572815533984,0.2195205531574528,0.4976524818485766,0.17442214550354193,515.0
Spatial,B,NORMAL,train,0.6904173139548866,0.012531199254865497,0.399284862932062,0.17015644990995854,0.49009130516132177,0.1392607880015974,2517.0
Spatial,B,NORMAL,validation,0.6968127918036952,0.00648933231856476,0.397692774741955,0.1747241907011151,0.49101173665727155,0.13917246076695206,549.0
Spatial,B,OTHER_DISRUPTION,test,0.2465821753957347,0.01402516736622884,0.36127744510978044,0.16554837756282606,0.2845812286828267,0.053137195532448014,167.0
Spatial,B,OTHER_DISRUPTION,train,0.24692265054289167,0.0031783806182768748,0.3305522447357966,0.12349973693355153,0.2768331531691581,0.044955364018545586,839.0
Spatial,B,OTHER_DISRUPTION,validation,0.2502638918686977,0.009164563350795699,0.3044315992292871,0.11694790678607722,0.26928582601048484,0.048065095884901946,173.0
Spatial,C,ACCIDENT,test,0.1287696887684253,0.021171950299082202,0.3153153153153153,0.04745789978762492,0.1828142680280422,0.029163575039232146,74.0
Spatial,C,ACCIDENT,train,0.12398569435987324,0.0023872246186981607,0.36791546589817486,0.11420009099794617,0.1826080191034615,0.016507689334854112,347.0
Spatial,C,ACCIDENT,validation,0.1345447600264474,0.012889441354635864,0.40079365079365087,0.13167190494473857,0.19649752047671332,0.007112248394062031,84.0
Spatial,C,NORMAL,test,0.6892771722635086,0.02761942834791003,0.37087378640776697,0.23347041832614843,0.4534861000379122,0.17833080105718882,515.0
Spatial,C,NORMAL,train,0.6947927342908319,0.01303586385018034,0.3574361011786518,0.18100302189900674,0.4539270113278342,0.14232577931680349,2517.0
Spatial,C,NORMAL,validation,0.712695791162262,0.01022187741579914,0.36551305403764417,0.19458747364777929,0.4632456510905336,0.15393872078043758,549.0
