event_sample_id,station_id,anchor_time,window_start,window_end,target_class,split_group_id,sample_type,flow_t_minus_3,flow_t_minus_2,flow_t_minus_1,flow_t0,flow_t_plus_1,flow_t_plus_2,flow_t_plus_3
INCIDENT__253400.0-webtirf__9658,9658,2025-10-22 03:00:00,2025-10-22 00:00:00,2025-10-22 06:00:00,OTHER_DISRUPTION,GROUP__9658__0031,INCIDENT,149.0,101.0,63.0,90.0,179.0,530.0,854.0
INCIDENT__253488-webtirf__9658,9658,2025-10-22 20:00:00,2025-10-22 17:00:00,2025-10-22 23:00:00,ACCIDENT,GROUP__9658__0032,INCIDENT,1035.0,924.0,804.0,745.0,612.0,536.0,322.0
INCIDENT__254950-webtirf__9658,9658,2025-11-06 22:00:00,2025-11-06 19:00:00,2025-11-07 01:00:00,ACCIDENT,GROUP__9658__0033,INCIDENT,79.0,64.0,65.0,60.0,57.0,39.0,31.0
INCIDENT__254950.0-webtirf__9658,9658,2025-11-06 22:00:00,2025-11-06 19:00:00,2025-11-07 01:00:00,ACCIDENT,GROUP__9658__0033,INCIDENT,79.0,64.0,65.0,60.0,57.0,39.0,31.0
INCIDENT__256931-webtirf__9658,9658,2025-11-25 18:00:00,2025-11-25 15:00:00,2025-11-25 21:00:00,OTHER_DISRUPTION,GROUP__9658__0034,INCIDENT,990.0,1117.0,1178.0,1163.0,939.0,722.0,631.0
INCIDENT__257082-webtirf__9658,9658,2025-11-26 05:00:00,2025-11-26 02:00:00,2025-11-26 08:00:00,OTHER_DISRUPTION,GROUP__9658__0035,INCIDENT,30.0,34.0,48.0,110.0,168.0,0.0,118.0
INCIDENT__257657-webtirf__9658,9658,2025-11-30 06:00:00,2025-11-30 03:00:00,2025-11-30 09:00:00,OTHER_DISRUPTION,GROUP__9658__0036,INCIDENT,167.0,136.0,184.0,371.0,638.0,841.0,1276.0
INCIDENT__219844-webtirf__9827,9827,2025-01-07 18:00:00,2025-01-07 15:00:00,2025-01-07 21:00:00,OTHER_DISRUPTION,GROUP__9827__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__223634-webtirf__9827,9827,2025-02-12 05:00:00,2025-02-12 02:00:00,2025-02-12 08:00:00,OTHER_DISRUPTION,GROUP__9827__0002,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__239432-webtirf__9827,9827,2025-06-18 07:00:00,2025-06-18 04:00:00,2025-06-18 10:00:00,ACCIDENT,GROUP__9827__0003,INCIDENT,90.0,273.0,754.0,998.0,1053.0,914.0,842.0
INCIDENT__251728-webtirf__9827,9827,2025-10-07 00:00:00,2025-10-06 21:00:00,2025-10-07 03:00:00,ACCIDENT,GROUP__9827__0004,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__258879-webtirf__9827,9827,2025-12-11 14:00:00,2025-12-11 11:00:00,2025-12-11 17:00:00,OTHER_DISRUPTION,GROUP__9827__0005,INCIDENT,159.0,146.0,135.0,118.0,169.0,128.0,96.0
INCIDENT__231818-webtirf__9834-PR,9834-PR,2025-04-17 09:00:00,2025-04-17 06:00:00,2025-04-17 12:00:00,ACCIDENT,GROUP__9834-PR__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__232463-webtirf__9834-PR,9834-PR,2025-04-24 13:00:00,2025-04-24 10:00:00,2025-04-24 16:00:00,ACCIDENT,GROUP__9834-PR__0002,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__245526-webtirf__9834-PR,9834-PR,2025-08-12 22:00:00,2025-08-12 19:00:00,2025-08-13 01:00:00,OTHER_DISRUPTION,GROUP__9834-PR__0003,INCIDENT,426.0,303.0,265.0,148.0,55.0,37.0,19.0
INCIDENT__250660-webtirf__9834-PR,9834-PR,2025-09-25 05:00:00,2025-09-25 02:00:00,2025-09-25 08:00:00,OTHER_DISRUPTION,GROUP__9834-PR__0004,INCIDENT,14.0,20.0,79.0,221.0,399.0,690.0,1027.0
INCIDENT__250660.0-webtirf__9834-PR,9834-PR,2025-09-25 05:00:00,2025-09-25 02:00:00,2025-09-25 08:00:00,OTHER_DISRUPTION,GROUP__9834-PR__0004,INCIDENT,14.0,20.0,79.0,221.0,399.0,690.0,1027.0
INCIDENT__219653-webtirf__9836-PR,9836-PR,2025-01-06 01:00:00,2025-01-05 22:00:00,2025-01-06 04:00:00,ACCIDENT,GROUP__9836-PR__0001,INCIDENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCIDENT__225464-webtirf__9836-PR,9836-PR,2025-03-02 23:00:00,2025-03-02 20:00:00,2025-03-03 02:00:00,OTHER_DISRUPTION,GROUP__9836-PR__0002,INCIDENT,27.0,12.0,12.0,3.0,0.0,0.0,0.0
INCIDENT__236891-webtirf__9836-PR,9836-PR,2025-05-26 06:00:00,2025-05-26 03:00:00,2025-05-26 09:00:00,ACCIDENT,GROUP__9836-PR__0003,INCIDENT,100.0,321.0,1003.0,1787.0,1567.0,1542.0,1392.0
INCIDENT__238473-webtirf__9836-PR,9836-PR,2025-06-09 10:00:00,2025-06-09 07:00:00,2025-06-09 13:00:00,OTHER_DISRUPTION,GROUP__9836-PR__0004,INCIDENT,26.0,18.0,27.0,25.0,24.0,22.0,20.0
