
============================================================
Running Strategy: GENERAL
============================================================
  Seed 42 ...
    Epoch  41 | Val MAE 0.2232 (best 0.2093)
    Epoch  43 | Val MAE 0.2310 (best 0.2093)
    Epoch  45 | Val MAE 0.2120 (best 0.2093)
    Epoch  47 | Val MAE 0.2170 (best 0.2093)
    Epoch  49 | Val MAE 0.2056 (best 0.2093)
    Epoch  51 | Val MAE 0.2137 (best 0.2056)
    Epoch  53 | Val MAE 0.2159 (best 0.2056)
    Epoch  55 | Val MAE 0.2062 (best 0.2056)
    Epoch  57 | Val MAE 0.2174 (best 0.2056)
    Epoch  59 | Val MAE 0.2110 (best 0.2056)
    Epoch  61 | Val MAE 0.2151 (best 0.2056)
    Epoch  63 | Val MAE 0.2129 (best 0.2056)
    Val MAE avg: 0.2056  | Test MAE avg: 0.1963
  Seed 777 ...
    Epoch   1 | Val MAE 0.2816 (best inf)
    Epoch   2 | Val MAE 0.2692 (best 0.2816)
    Epoch   3 | Val MAE 0.2513 (best 0.2692)
    Epoch   5 | Val MAE 0.2469 (best 0.2437)
    Epoch   7 | Val MAE 0.2486 (best 0.2381)
    Epoch   9 | Val MAE 0.2333 (best 0.2380)
    Epoch  11 | Val MAE 0.2230 (best 0.2306)
    Epoch  13 | Val MAE 0.2289 (best 0.2230)
    Epoch  15 | Val MAE 0.2262 (best 0.2225)
    Epoch  17 | Val MAE 0.2217 (best 0.2225)
    Epoch  19 | Val MAE 0.2266 (best 0.2197)
    Epoch  21 | Val MAE 0.2268 (best 0.2197)
    Epoch  23 | Val MAE 0.2381 (best 0.2197)
    Epoch  25 | Val MAE 0.2194 (best 0.2197)
    Epoch  27 | Val MAE 0.2279 (best 0.2194)
    Epoch  29 | Val MAE 0.2244 (best 0.2194)
    Epoch  31 | Val MAE 0.2308 (best 0.2194)
    Epoch  33 | Val MAE 0.2163 (best 0.2179)
    Epoch  35 | Val MAE 0.2184 (best 0.2129)
    Epoch  37 | Val MAE 0.2281 (best 0.2129)
    Epoch  39 | Val MAE 0.2167 (best 0.2129)
    Epoch  41 | Val MAE 0.2151 (best 0.2129)
    Epoch  43 | Val MAE 0.2138 (best 0.2129)
    Epoch  45 | Val MAE 0.2230 (best 0.2129)
    Epoch  47 | Val MAE 0.2175 (best 0.2129)
    Epoch  49 | Val MAE 0.2133 (best 0.2120)
    Epoch  51 | Val MAE 0.2270 (best 0.2120)
    Epoch  53 | Val MAE 0.2191 (best 0.2120)
    Epoch  55 | Val MAE 0.2239 (best 0.2120)
    Epoch  57 | Val MAE 0.2193 (best 0.2120)
    Epoch  59 | Val MAE 0.2136 (best 0.2120)
    Epoch  61 | Val MAE 0.2151 (best 0.2100)
    Epoch  63 | Val MAE 0.2186 (best 0.2100)
    Epoch  65 | Val MAE 0.2156 (best 0.2100)
    Epoch  67 | Val MAE 0.2202 (best 0.2100)
    Epoch  69 | Val MAE 0.2214 (best 0.2100)
    Epoch  71 | Val MAE 0.2180 (best 0.2100)
    Epoch  73 | Val MAE 0.2293 (best 0.2100)
    Epoch  75 | Val MAE 0.2271 (best 0.2100)
    Val MAE avg: 0.2100  | Test MAE avg: 0.1981

============================================================
FINAL RESULTS ¡ª iTransformer Model
============================================================
Strategy       MAE-1h   MAE-3h   MAE-6h  MAE-avg  MAPE-1h  MAPE-3h  MAPE-6h  RMSE-1h  RMSE-3h  RMSE-6h
--------------------------------------------------------------------------------------------------------
general        0.1367   0.2031   0.2756   0.2111  177.66%  290.21%  366.83%   0.3130   0.4622   0.6323
binary         0.1333   0.1993   0.2720   0.2078  159.03%  276.42%  365.98%   0.3194   0.4625   0.6281
typeemb        0.1305   0.1955   0.2675   0.2040  151.15%  303.89%  403.55%   0.3035   0.4536   0.6166

Ablation Deltas:
  D1 (Binary - General) 1h: -0.0034
  D1 (Binary - General) 3h: -0.0038
  D1 (Binary - General) 6h: -0.0035
  D2 (TypeEmb - Binary) 1h: -0.0028
  D2 (TypeEmb - Binary) 3h: -0.0037
  D2 (TypeEmb - Binary) 6h: -0.0046
