max_depth,min_samples_leaf,min_samples_split,ccp_alpha,tree_depth,n_leaves,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
5.0,40,10,0.001,5,11,0.25,0.34464476213222334,0.32896955180939985,0.34464476213222334,0.19750844324223163,0.17777860598871256
5.0,40,20,0.0,5,15,0.26658163265306123,0.3515450316740023,0.3402075744528114,0.3515450316740023,0.21366556317802612,0.20788506970846224
5.0,40,20,0.0005,5,15,0.26658163265306123,0.3515450316740023,0.3402075744528114,0.3515450316740023,0.21366556317802612,0.20788506970846224
5.0,40,20,0.001,5,11,0.25,0.34464476213222334,0.32896955180939985,0.34464476213222334,0.19750844324223163,0.17777860598871256
5.0,40,40,0.0,5,15,0.26658163265306123,0.3515450316740023,0.3402075744528114,0.3515450316740023,0.21366556317802612,0.20788506970846224
5.0,40,40,0.0005,5,15,0.26658163265306123,0.3515450316740023,0.3402075744528114,0.3515450316740023,0.21366556317802612,0.20788506970846224
5.0,40,40,0.001,5,11,0.25,0.34464476213222334,0.32896955180939985,0.34464476213222334,0.19750844324223163,0.17777860598871256
8.0,5,10,0.0,8,62,0.2780612244897959,0.3430805099684966,0.3482542310565706,0.3430805099684966,0.20634077284220834,0.22393908659665163
8.0,5,10,0.0005,8,51,0.27933673469387754,0.3437094407861067,0.3500848176420695,0.3437094407861067,0.20742450731791304,0.2258965152015705
8.0,5,10,0.001,8,27,0.2614795918367347,0.33107691607811024,0.3249833405765609,0.33107691607811024,0.19300515031740328,0.20175839829284214
8.0,5,20,0.0,8,48,0.2755102040816326,0.34182264833327647,0.34827075868515345,0.34182264833327647,0.20409033675686353,0.22000445455500486
8.0,5,20,0.0005,8,45,0.2755102040816326,0.34182264833327647,0.34827075868515345,0.34182264833327647,0.20409033675686353,0.22000445455500486
8.0,5,20,0.001,8,27,0.2614795918367347,0.33107691607811024,0.3249833405765609,0.33107691607811024,0.19300515031740328,0.20175839829284214
8.0,5,40,0.0,8,34,0.27040816326530615,0.3426603887315614,0.34580348673666306,0.3426603887315614,0.20832940760211727,0.21545875783343243
8.0,5,40,0.0005,8,34,0.27040816326530615,0.3426603887315614,0.34580348673666306,0.3426603887315614,0.20832940760211727,0.21545875783343243
8.0,5,40,0.001,8,25,0.2627551020408163,0.33761097273874924,0.33444952249905807,0.33761097273874924,0.201765115680409,0.2043251476280138
8.0,10,10,0.0,8,51,0.2767857142857143,0.344766226528825,0.3570634534242129,0.344766226528825,0.20963003258327992,0.22428446216549625
8.0,10,10,0.0005,8,42,0.2755102040816326,0.344137295711215,0.3556013120864918,0.344137295711215,0.20854243835498343,0.2223090505579691
8.0,10,10,0.001,8,30,0.25510204081632654,0.3363890500073925,0.33624033714056223,0.3363890500073925,0.19368129855934735,0.18915702278071617
8.0,10,20,0.0,8,51,0.2767857142857143,0.344766226528825,0.3570634534242129,0.344766226528825,0.20963003258327992,0.22428446216549625
8.0,10,20,0.0005,8,42,0.2755102040816326,0.344137295711215,0.3556013120864918,0.344137295711215,0.20854243835498343,0.2223090505579691
8.0,10,20,0.001,8,30,0.25510204081632654,0.3363890500073925,0.33624033714056223,0.3363890500073925,0.19368129855934735,0.18915702278071617
8.0,10,40,0.0,8,33,0.2653061224489796,0.3340025248217271,0.33608627397447277,0.3340025248217271,0.200932200024759,0.21134560289019713
8.0,10,40,0.0005,8,32,0.2627551020408163,0.3340204942736588,0.3386952130557859,0.3340204942736588,0.19819695469597734,0.20570007075971747
8.0,10,40,0.001,8,26,0.24872448979591838,0.3332443959193422,0.3307951167047927,0.3332443959193422,0.18763393188573999,0.17816890892842774
8.0,20,10,0.0,8,37,0.2614795918367347,0.3418483514733813,0.32713699615108066,0.3418483514733813,0.20360067472650253,0.20001236221907936
8.0,20,10,0.0005,8,34,0.25637755102040816,0.34188429037724477,0.3268711350088502,0.34188429037724477,0.1979727103478086,0.1882227006407493
8.0,20,10,0.001,8,26,0.2461734693877551,0.33789166012715094,0.3191087577821668,0.33789166012715094,0.19161710080635733,0.17362288242530863
8.0,20,20,0.0,8,37,0.2614795918367347,0.3418483514733813,0.32713699615108066,0.3418483514733813,0.20360067472650253,0.20001236221907936
8.0,20,20,0.0005,8,34,0.25637755102040816,0.34188429037724477,0.3268711350088502,0.34188429037724477,0.1979727103478086,0.1882227006407493
8.0,20,20,0.001,8,26,0.2461734693877551,0.33789166012715094,0.3191087577821668,0.33789166012715094,0.19161710080635733,0.17362288242530863
8.0,20,40,0.0,8,37,0.2614795918367347,0.3418483514733813,0.32713699615108066,0.3418483514733813,0.20360067472650253,0.20001236221907936
8.0,20,40,0.0005,8,34,0.25637755102040816,0.34188429037724477,0.3268711350088502,0.34188429037724477,0.1979727103478086,0.1882227006407493
8.0,20,40,0.001,8,26,0.2461734693877551,0.33789166012715094,0.3191087577821668,0.33789166012715094,0.19161710080635733,0.17362288242530863
8.0,40,10,0.0,8,21,0.27168367346938777,0.3438541062472278,0.3257268584001258,0.3438541062472278,0.22163407904304433,0.2269434040673332
8.0,40,10,0.0005,8,20,0.2729591836734694,0.3508621925005971,0.33636363636363636,0.3508621925005971,0.22108295269122483,0.22218283714979348
