station_id,wgs84_latitude,wgs84_longitude,road_name,suburb,post_code,device_type,quality_rating,year
F3FWY006,-33.395744,151.297058,Pacific Motorway,Somersby,2250,Tirtl,4,2025
HEXBUCHW-PR,-32.835659,151.538528,Hunter Expressway,Buchanan,2323,Tirtl,5,2025
HHW005,-34.786289,148.703384,Hume Highway,Bookham,2582,Tirtl,4,2025
HHW006,-34.836449,149.007996,Hume Highway,Manton,2582,Tirtl,4,2025
MOHVCS,-34.390652,150.858108,Mount Ousley Road Hvcs,Mount Keira,2500,Tirtl,4,2025
MUB001,-36.003071,146.003235,Melbourne Street,Mulwala,2647,Tirtl,4,2025
NNGSTC,-31.568691,147.209168,Mitchell Highway,Nyngan,2825,Tirtl,4,2025
PHSTC,-31.860619,152.600388,Pacific Highway,Jones Island,2430,Tirtl,4,2025
T0065,-34.702332,150.017639,Hume Highway Hvcs,Marulan,2579,Tirtl,5,2025
T0085,-33.665455,151.090271,Galston Road,Hornsby Heights,2077,Tirtl,5,2025
T0231,-33.838615,151.143753,Victoria Road,Huntleys Point,2111,Tirtl,5,2025
T0242,-31.568602,147.209,Mitchell Highway,Nyngan,2825,Tirtl,4,2025
T0274-PR,-34.704567,150.014954,Hume Highway,Marulan,2579,Tirtl,5,2025
T0284,-34.705681,150.013245,Hume Highway Hvcs,Marulan,2579,Tirtl,5,2025
T0288,-33.455536,151.205093,Pacific Motorway Hvcs,Mount White,2250,Tirtl,5,2025
T0289,-33.455235,151.205383,Pacific Motorway Hvcs,Mount White,2250,Tirtl,5,2025
T0290,-33.454796,151.205872,Pacific Motorway Hvcs,Mount White,2250,Tirtl,5,2025
T0294,-33.615574,150.272995,Great Western Highway Hvcs,Blackheath,2785,Tirtl,5,2025
T0295,-33.615974,150.273331,Great Western Highway Hvcs,Blackheath,2785,Tirtl,5,2025
T0296,-33.61628,150.273605,Great Western Highway Hvcs,Blackheath,2785,Tirtl,5,2025
T0297,-33.618145,150.274261,Great Western Highway Hvcs,Blackheath,2785,Tirtl,5,2025
T0298,-33.617626,150.274033,Great Western Highway Hvcs,Blackheath,2785,Tirtl,5,2025
T0299,-33.616905,150.273621,Great Western Highway Hvcs,Blackheath,2785,Tirtl,5,2025
T0337,-33.654926,151.060974,Galston Road,Galston,2159,Tirtl,5,2025
T0342,-33.65556,151.063828,Galston Road,Galston,2159,Tirtl,5,2025
T0345,-33.689632,151.097748,Galston Road,Hornsby,2077,Tirtl,5,2025
T0384,-33.511532,150.284225,Bells Line Of Road,Bell,2786,Tirtl,5,2025
T0479-PR,-33.454525,151.206726,Pacific Motorway,Mount White,2250,Tirtl,5,2025
T0482,-32.655415,151.853134,Pacific Highway,Twelve Mile Creek,2324,Tirtl,5,2025
T0485,-33.616264,150.273102,Great Western Highway Hvcs,Blackheath,2785,Tirtl,5,2025
T0494,-34.690311,149.999191,Jaorimin Road,Marulan,2579,Tirtl,5,2025
T0496,-34.706326,150.012497,Hume Highway Hvcs,Marulan,2579,Tirtl,5,2025
