match_key,station_key,date,associated_parent_station_id,hour_str,flow,hour_int,flow_dt
18479658,18479658,2025-01-13 00:00:00+00,9658,hour_00,40.0,0,2025-01-13 00:00:00
17126148,17126148,2025-01-14 00:00:00+00,7126,hour_00,89.0,0,2025-01-14 00:00:00
18479658,18479658,2025-01-14 00:00:00+00,9658,hour_00,3.0,0,2025-01-14 00:00:00
18479658,18479658,2025-01-14 00:00:00+00,9658,hour_00,39.0,0,2025-01-14 00:00:00
17126148,17126148,2025-01-14 00:00:00+00,7126,hour_00,20.0,0,2025-01-14 00:00:00
17126147,17126147,2025-01-14 00:00:00+00,7126,hour_00,5.0,0,2025-01-14 00:00:00
15334016,15334016,2025-01-14 00:00:00+00,34016,hour_00,,0,2025-01-14 00:00:00
18479658,18479658,2025-01-14 00:00:00+00,9658,hour_00,17.0,0,2025-01-14 00:00:00
17126147,17126147,2025-01-14 00:00:00+00,7126,hour_00,6.0,0,2025-01-14 00:00:00
18479658,18479658,2025-01-14 00:00:00+00,9658,hour_00,4.0,0,2025-01-14 00:00:00
15334016,15334016,2025-01-14 00:00:00+00,34016,hour_00,,0,2025-01-14 00:00:00
18479658,18479658,2025-01-15 00:00:00+00,9658,hour_00,11.0,0,2025-01-15 00:00:00
18479658,18479658,2025-01-15 00:00:00+00,9658,hour_00,5.0,0,2025-01-15 00:00:00
17126148,17126148,2025-01-15 00:00:00+00,7126,hour_00,4.0,0,2025-01-15 00:00:00
17126149,17126149,2025-01-15 00:00:00+00,7126,hour_00,93.0,0,2025-01-15 00:00:00
17126149,17126149,2025-01-15 00:00:00+00,7126,hour_00,8.0,0,2025-01-15 00:00:00
15334016,15334016,2025-01-15 00:00:00+00,34016,hour_00,65.0,0,2025-01-15 00:00:00
18479658,18479658,2025-01-15 00:00:00+00,9658,hour_00,31.0,0,2025-01-15 00:00:00
17126147,17126147,2025-01-15 00:00:00+00,7126,hour_00,7.0,0,2025-01-15 00:00:00
18479658,18479658,2025-01-15 00:00:00+00,9658,hour_00,3.0,0,2025-01-15 00:00:00
17126147,17126147,2025-01-15 00:00:00+00,7126,hour_00,2.0,0,2025-01-15 00:00:00
15334016,15334016,2025-01-15 00:00:00+00,34016,hour_00,5.0,0,2025-01-15 00:00:00
17126148,17126148,2025-01-15 00:00:00+00,7126,hour_00,3.0,0,2025-01-15 00:00:00
15334016,15334016,2025-01-16 00:00:00+00,34016,hour_00,92.0,0,2025-01-16 00:00:00
17126147,17126147,2025-01-16 00:00:00+00,7126,hour_00,7.0,0,2025-01-16 00:00:00
17126147,17126147,2025-01-16 00:00:00+00,7126,hour_00,10.0,0,2025-01-16 00:00:00
17126148,17126148,2025-01-16 00:00:00+00,7126,hour_00,24.0,0,2025-01-16 00:00:00
17126149,17126149,2025-01-16 00:00:00+00,7126,hour_00,153.0,0,2025-01-16 00:00:00
15334016,15334016,2025-01-16 00:00:00+00,34016,hour_00,11.0,0,2025-01-16 00:00:00
17126149,17126149,2025-01-16 00:00:00+00,7126,hour_00,16.0,0,2025-01-16 00:00:00
17126148,17126148,2025-01-16 00:00:00+00,7126,hour_00,76.0,0,2025-01-16 00:00:00
15334016,15334016,2025-01-17 00:00:00+00,34016,hour_00,124.0,0,2025-01-17 00:00:00
